artist,genres
Vindata,"future bass, vapor twitch"
The Homies,kentucky hip hop
Cvllum ã‚«ãƒ«ãƒ ,No genres found
MAKJ,"dutch house, edm, electro house, melbourne bounce, pop dance, progressive electro house, sky room"
SahBabii,"melodic rap, plugg"
TakeOff,No genres found
Slow Magic,"chillwave, gauze pop, vapor twitch"
Nate Rose,nashville hip hop
Deca,No genres found
GhostWryter,No genres found
OG Maco,atl hip hop
URBVN ARCHITECTS NYC,No genres found
Chance the Rapper,"chicago rap, conscious hip hop, hip hop, pop rap, rap, trap"
pluko,"future bass, vapor twitch"
Guapdad 4000,"cali rap, canadian hip hop, oakland hip hop, scam rap, underground hip hop"
HAARPER,"dark trap, drift phonk, game mood"
Pritty,No genres found
kamau,downtempo bass
WEEDMANE,drift phonk
Uppermost,complextro
Crystal Skies,"melodic dubstep, pop edm"
N.W.A.,"conscious hip hop, gangster rap, golden age hip hop, hip hop, old school hip hop, rap, west coast rap"
extremely bad man,chill abstract hip hop
Sonny Digital,atl hip hop
Kodyak,cloud rap
Chuuwee,"indie hip hop, sacramento hip hop, underground hip hop"
Your Neighbors,nashville indie
Hermitude,"australian dance, australian indie, downtempo, escape room"
Elijah Ghost,phonk
Dre'es,No genres found
brandUn DeShay,chicago rap
Austin Millz,No genres found
Radamiz,No genres found
Meanz Of Operation,No genres found
Parov Stelar,"balkan beats, downtempo, electro swing, nu jazz"
Postcards,anthem emo
Kodak Black,"florida drill, florida rap, melodic rap, miami hip hop, rap, trap, trap latino"
The Story So Far,"alternative emo, emo, pop punk"
Jordaan Mason,canadian indie folk
Courtney Barnett,"art pop, australian indie, chamber pop, indie pop, indie rock, melbourne indie, noise pop, seattle indie, singer-songwriter, slacker rock"
Jeremih,No genres found
Carly Cosgrove,"5th wave emo, bubblegrunge"
Sir Chloe,"indie pop, pov: indie"
Sloan,No genres found
The Jamaican Reggae Band,No genres found
The Beach Boys,"baroque pop, classic rock, folk rock, mellow gold, psychedelic rock, rock, singer-songwriter, sunshine pop"
Jets To Brazil,"emo, emo punk, post-hardcore"
Young Jesus,indie psych-pop
Alvvays,"art pop, chamber pop, dream pop, dreamo, indie pop, indie rock, noise pop, shoegaze, toronto indie"
Vision Video,"american post-punk, modern goth"
Skylar Grey,No genres found
Jean Dawson,"indie hip hop, modern indie pop"
CoryaYo,No genres found
Zaia,atl hip hop
Forever Golden,"indie hip hop, lo-fi rap"
Rejjie Snow,"indie soul, irish hip hop"
Anamanaguchi,"bitpop, chiptune, indie game soundtrack, nintendocore"
Hyper Potions,"kawaii future bass, pixel, speedrun, vgm remix"
Laszlo,"dutch edm, gaming edm"
Midnight Kids,pop edm
Alfonosy,No genres found
Mobb Deep,"east coast hip hop, hardcore hip hop, hip hop, queens hip hop"
Makaveli,dark trap
Fixion,"darksynth, synthwave"
Hot Flash Heat Wave,"indie garage rock, indie surf, surf punk"
Paperboy Fabe,No genres found
Ice Cube,"conscious hip hop, g funk, gangster rap, hip hop, rap, west coast rap"
MF DOOM,"east coast hip hop, hip hop, instrumental hip hop, rap"
Big Pun,No genres found
Lynyrd Skynyrd,"album rock, classic rock, hard rock, rock, southern rock"
girl in red,"bedroom pop, indie pop, norwegian indie, pov: indie"
The 1975,"modern alternative rock, modern rock, pop, pov: indie, rock"
Vince Guaraldi Trio,jazz trio
Blu,No genres found
The Palmer Squares,"chicago rap, indie pop rap"
Lupe Fiasco,"chicago rap, conscious hip hop, hip hop, political hip hop, pop rap, rap, southern hip hop"
EKKSTACY,zoomergaze
Bleed The Wicked Menace,No genres found
RY X,"indie anthem-folk, indie folk"
Kx5,melodic house
Dead Robot,No genres found
Gangsta Pat,memphis hip hop
King Geedorah,alternative hip hop
The Killers,"alternative rock, dance rock, modern rock, permanent wave, rock"
King Kendrick,No genres found
Wafflejax,No genres found
NOLANBEROLLIN,cloud rap
Tom Odell,chill pop
B.o.B,"atl hip hop, dance pop, pop rap, rap, southern hip hop"
Torin Borrowdale,soundtrack
D33J,abstract beats
Pinegrove,"countrygaze, new jersey indie, small room"
REDZED,czsk hip hop
Belmont,"alternative emo, anthem emo, chicago pop punk, easycore, pop punk"
Iceberg Black,"dark trap, phonk"
Cuffed Up,No genres found
Henry Jackman,"british soundtrack, soundtrack"
Limp Bizkit,"alternative metal, funk metal, nu metal, post-grunge, rap metal, rock"
MAKAVELIGODD,dark trap
220 KID,uk dance
Kris Noel,No genres found
Rick Ross,"dirty south rap, gangster rap, hip hop, rap, southern hip hop, trap"
alt-J,"indie rock, indietronica, modern alternative rock, modern rock, rock, shimmer pop"
Blu & Exile,"alternative hip hop, jazz rap"
Knapsack,future bass
Rucka Rucka Ali,"antiviral pop, comic, meme, parody"
soulache,No genres found
Gucci Mane,"atl hip hop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap"
aryy,No genres found
Akintoye,No genres found
Petey Pablo,"crunk, dirty south rap, north carolina hip hop, southern hip hop"
Jank,No genres found
Night Lovell,"canadian hip hop, canadian trap, cloud rap, dark trap, ottawa rap"
Vida,healing hz
Manwolves,"bedroom soul, lo-fi rap"
Kiiara,"alt z, electropop"
Deon Custom,"future bass, gaming edm"
DJ Snake,"dance pop, edm, electronic trap, pop, pop dance"
Weezer,"alternative rock, modern power pop, modern rock, permanent wave, rock"
The Rolling Stones,"album rock, british invasion, classic rock, rock"
HDBeenDope,No genres found
Mo Beats,No genres found
Disturbed,"alternative metal, nu metal, rap metal, rock"
Zack Fox,"indie hip hop, meme rap, social media pop"
KAYTRANADA,"alternative r&b, escape room, indie soul, lgbtq+ hip hop"
Steve Brian,progressive trance
Tash Sultana,australian reggae fusion
REO Speedwagon,"album rock, classic rock, glam metal, hard rock, mellow gold, rock, soft rock"
Uyama Hiroto,"ambeat, jazztronica"
Rise Against,"alternative metal, chicago hardcore, chicago punk, hardcore punk, modern rock, pop punk, post-grunge, punk"
DigBar,meme
ups,"alt z, modern indie pop"
Present,chillsynth
Jet Black Alley Cat,hopebeat
Tigers Jaw,"alternative emo, bubblegrunge, dreamo, emo, lo-fi emo, pop punk"
Kenichiro Nishihara,ambeat
Bear McCreary,"orchestral soundtrack, scorecore, soundtrack, video game music"
Hozier,"irish singer-songwriter, modern rock, pop, pov: indie"
Razegod,No genres found
Meghan Trainor,"hip pop, pop"
Jonas Brothers,"boy band, pop"
Burl Ives,"adult standards, american folk revival"
Bobby Helms,No genres found
James Horner,"orchestral soundtrack, soundtrack"
Tony Bennett,"adult standards, easy listening, lounge, vocal jazz"
Trans-Siberian Orchestra,"neo classical metal, progressive metal"
Johnny Mathis,"adult standards, easy listening"
The Jackson 5,"motown, soul"
*NSYNC,"boy band, dance pop, pop"
Andy Williams,"adult standards, easy listening"
The Philly Specials,No genres found
Hanson,alt z
John Rzeznik,No genres found
Starjunk 95,rally house
The Caracal Project,french dnb
Yuno Miles,meme
Tony Castles,No genres found
Last Dinosaurs,australian indie
Particle House,No genres found
Magic Man,"hopebeat, indie poptimism, shimmer pop"
J+1,No genres found
Audioslave,"alternative metal, alternative rock, grunge, hard rock, nu metal, permanent wave, post-grunge, rock, supergroup"
Ã˜neheart,No genres found
admo,chillsynth
xac,No genres found
Airitout JuJu,No genres found
MCM Raymond,"cali rap, westcoast flow"
Dan + Shay,"contemporary country, country, country road"
Omar Apollo,"bedroom pop, bedroom soul"
Tom Tripp,uk contemporary r&b
Droop-E,"hyphy, west coast trap"
Ethelwulf,"cloud rap, underground hip hop"
The Happy Fits,"modern folk rock, new jersey indie, pov: indie"
Good Kid,No genres found
Victoria MonÃ©t,No genres found
Orion Sun,"alternative r&b, bedroom pop"
bLAck pARty,"alternative r&b, indie soul"
Kali Uchis,colombian pop
Souly Had,No genres found
Elujay,"alternative r&b, cali rap, indie r&b"
Weston Estate,chill r&b
Â¿TÃ©o?,"finnish edm, progressive house, progressive trance, trance, uplifting trance"
Thundercat,No genres found
Cautious Clay,"indie r&b, nyc pop"
AUDREY NUNA,"alternative r&b, modern indie pop"
Ralph Castelli,alaska indie
Dreamer Boy,nashville indie
Hot Mulligan,"alternative emo, emo, pop punk"
Seaway,"anthem emo, canadian pop punk, canadian punk, easycore, pop punk"
John Floreani,anthem emo
Hailee Steinfeld,pop
Linkin Park,"alternative metal, nu metal, post-grunge, rap metal, rock"
A-Jay,west coast trap
Black Star,No genres found
C.W. McCall,"classic country pop, country rock, truck-driving country"
idontknowjeffery,"dark trap, memphis hip hop, underground hip hop"
Engine Down,"emo, emo punk, math rock, post-hardcore"
Priestess,"canadian metal, canadian rock, retro metal"
Jeezy,"atl hip hop, crunk, dirty south rap, gangster rap, old school atlanta hip hop, rap, southern hip hop, trap"
Connor Musarra,No genres found
Beach Weather,pov: indie
Algae Bloom,"diy emo, midwest emo, new wave of screamo, skramz"
Youth Funeral,"blackened hardcore, emoviolence, skramz"
Dada Life,"big room, dutch house, edm, electro house, pop dance, progressive electro house, progressive house"
Jay Robinson,bass house
DJ Hero,No genres found
aUtOdiDakT,No genres found
DJ Paul,"gabber, happy hardcore"
Speak,"melodic rap, south carolina hip hop, trap"
Max Hurrell,No genres found
RudeLies,"future bounce, gaming edm, pop edm"
Sk-Hall,melbourne bounce international
Quando Rondo,"melodic rap, trap"
Empire Of The Sun,"australian dance, australian electropop, dance rock, indietronica, neo-synthpop"
Macklemore,"pop rap, seattle hip hop"
Slump AK,No genres found
A Day To Remember,"alternative metal, metalcore, neon pop punk, pop punk, screamo"
Atmosphere,"alternative hip hop, conscious hip hop, minnesota hip hop"
Seno,"japanese vgm, sound team"
Banda MS de Sergio LizÃ¡rraga,No genres found
Dream Junkies,"christian hip hop, christian trap"
Ivan Ave,jazz rap
Thurz,soul flow
Nujabes,"downtempo, instrumental hip hop, japanese chillhop, japanese old school hip hop, jazz rap"
Ravo,No genres found
Four Fists,"abstract hip hop, minnesota hip hop"
Slyte,florida rap
2forwOyNE,kentucky hip hop
Samsonyte,dfw rap
Aura Da Prophet,spiritual hip hop
LocalBlac,No genres found
Franchise,No genres found
Sadistik,"abstract hip hop, seattle hip hop"
Langston Bristol,No genres found
Austin Marc,No genres found
SADGASM,aesthetic rap
BADBADNOTGOOD,"canadian modern jazz, indie soul"
Big L,"east coast hip hop, hardcore hip hop, harlem hip hop"
House Of Pain,"gangster rap, hip hop, rap rock, west coast rap"
Special Ed,"harlem hip hop, old school hip hop"
FU-Schnickens,"bboy, east coast hip hop"
BupLee,No genres found
Skyler Stonestreet,No genres found
From Indian Lakes,"dreamo, progressive post-hardcore"
femdot.,"chill abstract hip hop, indie hip hop"
Paper Idol,No genres found
Vanilla,chillhop
Sleepy Dog,midwest emo
Bay Faction,"5th wave emo, alternative emo"
King Chip,ohio hip hop
Eric B. & Rakim,"bboy, east coast hip hop, golden age hip hop, hip hop, old school hip hop"
Steve Anderson,No genres found
Flosstradamus,"brostep, edm, electro house, electronic trap, mashup"
Sleepy Hallow,"brooklyn drill, nyc rap"
Matt Mems,No genres found
student 1,minnesota hip hop
araabMUZIK,No genres found
PNTHN,san marcos tx indie
Guerrero De Cristo,"rap cristiano, trap cristiano"
Mitch Darrell,"christian hip hop, christian trap"
Game & Sound,pixel
Falcone,"folk metal, melodic metal, nordic folk metal, power metal, swedish power metal, viking metal"
City Morgue,dark trap
TOKYOâ€™S REVENGE,No genres found
Nico Segal,pop soul
Token,"boston hip hop, deep underground hip hop, indie pop rap"
Hoodie Allen,indie pop rap
J-weezy,No genres found
Field Mob,"atl hip hop, dirty south rap, old school atlanta hip hop"
The Band CAMINO,"hopebeat, pov: indie"
Sincerely,progressive post-hardcore
Loutribe Jigg,st louis rap
haruka nakamura,j-ambient
Smoke,"melodic rap, miami hip hop, trap, underground hip hop"
Ike Offline,No genres found
Kevin J Dill,No genres found
Matthew Chaim,canadian contemporary r&b
Hushpuppies,"french garage rock, french rock, rock independant francais"
The Smashing Pumpkins,"alternative metal, alternative rock, grunge, permanent wave, rock, spacegrunge"
Anarchy Club,No genres found
The Him,"big room, deep tropical house, pop dance, pop edm"
Andrew Rayel,"dutch house, edm, moldovan pop, progressive house, trance"
NERVO,"australian dance, dutch house, edm, electra, electro house, house, pop dance, progressive electro house, progressive house"
DMVU,experimental bass
Iso Indies,No genres found
Catvlyst,No genres found
Lybra,instrumental math rock
Concept Collective,No genres found
Grey Lamb,No genres found
MIDNIGHT ERA,No genres found
Schroeder,No genres found
Bad Rabbits,"boston rock, synth funk"
ShittyBoyz,"detroit hip hop, scam rap"
Kill The Noise,"brostep, complextro, edm, electro house, fidget house, filthstep"
Destroyer,"art pop, chamber pop, indie rock, indietronica, noise pop, vancouver indie"
They Are Gutting a Body of Water,"american shoegaze, hyper-rock, lo-fi indie, nu gaze, pennsylvania shoegaze, shoegaze"
SiM,"midwest emo, new england emo"
"Black Country, New Road","crank wave, indie rock, london indie, uk post-punk revival"
Karate,hard bass
And So I Watch You from Afar,"british post-rock, instrumental post-rock, instrumental rock, math rock, post-rock"
Common Sage,5th wave emo
Slow Pulp,"bubblegrunge, chicago indie, countrygaze, midwest shoegaze, nu gaze"
Iceage,"crank wave, danish alternative rock, danish post-punk, noise pop, noise rock"
Good Morning,"experimental pop, indie garage rock, lo-fi indie"
Pedro The Lion,"emo, indie rock, melancholia, slowcore"
Casiotone For The Painfully Alone,"anti-folk, indietronica, lo-fi"
Gilla Band,"crank wave, irish indie rock, irish post-punk"
Pinback,indie rock
Lomelda,"countrygaze, small room"
"Hey, Ily",5th wave emo
IAN SWEET,"bubblegrunge, small room"
Sarah and the Sundays,connecticut indie
Sad Park,socal indie
Big Thief,"art pop, brooklyn indie, chamber pop, countrygaze, indie pop, indie rock, pov: indie, small room"
Guided By Voices,"alternative pop, alternative rock, chamber pop, dayton indie, gbvfi, indie rock, lo-fi, modern power pop, noise pop, ohio indie, power pop, slacker rock"
Dino Gala,boston indie
For Your Health,"emoviolence, mathcore, ohio hardcore, skramz"
Happy Diving,"dreamo, indie punk"
Really From,"5th wave emo, boston indie, new england emo"
Laura Stevenson,"bubblegrunge, indie punk, small room"
Deafheaven,"atmospheric black metal, blackened screamo, blackgaze, emotional black metal, post-metal, usbm"
Hana Eid,No genres found
Puppy Angst,No genres found
Cosmic Will,No genres found
Learn Karate,No genres found
Southwest Hotel,No genres found
camp ghost,No genres found
l'architecte,No genres found
Quiet Commotion,No genres found
The Greeting Committee,"indie pop, kc indie, pov: indie"
The DÃ¸,"albuquerque indie, alternative rock, canadian indie, chamber pop, indie pop, indie rock, modern rock, portland indie, seattle indie, stomp and holler"
toe,"instrumental math rock, instrumental post-rock, japanese math rock, japanese post-rock, math rock, midwest emo"
Sprain,slowcore
Bob Vylan,"black punk, crank wave"
Cocteau Twins,"alternative rock, art pop, dream pop, ethereal wave, melancholia, new wave, scottish indie, scottish shoegaze, shoegaze, synthpop"
Left at London,transpop
Advance Base,"autoharp, indie psych-pop"
Wednesday,"hyperpop, japanese dance pop, japanese electropop"
Drop Nineteens,"american shoegaze, boston rock, dream pop, new england shoegaze, nu gaze, shoegaze"
Toner,american shoegaze
The Paranoyds,la indie
Amy O,No genres found
Moon King,toronto indie
Duvel,No genres found
Hiiro Issiki,No genres found
Francis Lung,No genres found
ALPHA 9,"progressive house, progressive trance, russian trance, trance, uplifting trance"
bÃ¼low,No genres found
Oliver Smith,"progressive house, progressive trance, uplifting trance"
The .Shrine,No genres found
Trent the HOOLiGAN,No genres found
Ãœ Blue,No genres found
Brian Brown,nashville hip hop
Pollari,"cloud rap, glitchcore, plugg"
Ty Dolla $ign,"hip hop, pop rap, r&b, southern hip hop, trap, trap soul"
Glacier,"future bass, gaming edm"
Tails,"future bass, vapor twitch"
Koven,"chillstep, melodic dubstep"
Nicki Minaj,"hip pop, pop, queens hip hop, rap"
Castlecomer,"hopebeat, indie rockism, modern alternative rock"
lovelytheband,"modern rock, pov: indie"
Sir Sly,"indietronica, la indie, modern alternative rock, modern rock, shimmer pop"
The Wombats,"liverpool indie, modern alternative rock, modern rock"
Imanbek,"electro house, pop dance, slap house"
Confetti,la pop
smle,future bass
Syn Cole,"deep tropical house, edm, pop dance, pop edm, progressive electro house, tropical house"
Mickey Valen,dark r&b
Cartoon,"djent, electronic djent"
Anne-Marie,pop
The Chainsmokers,pop
Mike Perry,"pop dance, swedish tropical house"
Post Malone,"dfw rap, melodic rap, pop, rap"
Sia,pop argentino
Jonas Blue,"pop, pop dance, tropical house, uk dance"
Lost Frequencies,"belgian edm, edm, pop dance, tropical house"
Marshmello,"brostep, edm, pop, progressive electro house"
Liam Payne,pop
STOKES,No genres found
Half an Orange,No genres found
Throttle,No genres found
Hoaprox,v-pop
SABAI,No genres found
ellis,No genres found
Fox Stevenson,"complextro, dancefloor dnb, electro house"
Terry Zhong,No genres found
Direct,"chillstep, gaming edm, melodic dubstep"
Lookas,"brostep, electro house, electronic trap"
DROELOE,"bass trap, electronic trap, future bass, pop edm, vapor twitch"
Trivecta,"dubstep, melodic dubstep, pop edm"
MELON,slap house
Ellie Goulding,"indietronica, metropopolis, pop, uk pop"
Taska Black,"bass trap, future bass, pop edm, vapor twitch"
KOAN Sound,"chillstep, complextro, filthstep, glitch, glitch hop"
LSDREAM,No genres found
Kaivon,"future bass, melodic dubstep"
Rootkit,"chillstep, complextro, electro house, gaming edm, melodic dubstep"
CloudNone,No genres found
CloZee,"downtempo bass, electra, glitch hop"
Juelz,"canadian electronic, electronic trap"
Ray Volpe,"brostep, dubstep, gaming dubstep"
Bassnectar,"bass music, breakbeat, brostep, edm, glitch hop"
Kai Wachi,"brostep, deathstep, dubstep"
Rich Gang,No genres found
Vulfpeck,"ann arbor indie, funk rock, instrumental funk"
DREAMERS,vapor twitch
æ³¢å‹’,No genres found
Odd Future,No genres found
DJ Scheme,viral rap
Three 6 Mafia,"crunk, dirty south rap, gangster rap, memphis hip hop, southern hip hop, tennessee hip hop, trap"
Lil Ugly Mane,"psychedelic hip hop, underground hip hop, virginia hip hop"
Ayzha Nyree,No genres found
Charles Stephens III,No genres found
John Mellencamp,"album rock, classic rock, country rock, folk rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock"
Bleachers,No genres found
DJ ESCO,"atl hip hop, trap"
Mint Condition,"contemporary r&b, minneapolis sound, new jack swing, r&b"
Rome in Silver,"future bass, vapor twitch"
Vaporplaid,No genres found
Anonymuz,deep underground hip hop
SWAVAY,"atl hip hop, indie hip hop"
Jimmy the Human,maine hip hop
Gangsta Blac,"crunk, memphis hip hop, tennessee hip hop"
Silverchair,"alternative metal, alternative rock, australian alternative rock, australian psych, australian rock, grunge, nu metal, post-grunge"
at Wendys,meme rap
Kusorare,meme rap
Oysterband,"british folk, celtic rock, traditional british folk"
The Clancy Brothers,"irish folk, irish pub song"
Waxies Dargle,"irish folk, irish pub song"
The High Kings,"celtic, celtic rock, irish folk, irish pub song"
The Pogues,"celtic punk, celtic rock, folk punk, punk"
The Irish Rovers,"canadian celtic, irish folk, irish pub song, shanty"
The Clancy Brothers & Tommy Makem,"irish folk, irish pub song"
Sharon Shannon,"celtic, irish accordion, irish folk, irish rock"
The Cranberries,"irish rock, pop rock, rock"
Goats Donâ€™t Shave,No genres found
B*Witched,"australian pop, europop, girl group"
The Chieftains,"celtic, irish folk"
Dropkick Murphys,"boston punk, boston rock, celtic punk, celtic rock, punk"
The Boomtown Rats,"new romantic, new wave, new wave pop"
The Corrs,"celtic rock, europop, pop rock"
Boyzone,boy band
World Music,epicore
The Irish Descendants,"canadian celtic, irish pub song, nl folk"
Charlie and the Bhoys,irish rebel song
The Dubliners,"celtic, irish folk"
Irish Nights,No genres found
Spailpin,irish pub song
Tailten,tavern
Pat Woods,irish pub song
The Town Pants,"canadian celtic, celtic rock"
Screeched Inn,No genres found
The Kilkennys,"irish folk, irish neo-traditional"
Hair of the Dog,celtic rock
The Fables,"canadian celtic, nl folk"
Andy M. Stewart and Manus Lunny,No genres found
Pooh Shiesty,"memphis hip hop, southern hip hop, tennessee hip hop, trap"
MC Holocaust,phonk
Suspect 44,progressive trance house
Thomas Hayes,"pop edm, sky room"
Romeo Blanco,No genres found
Incidental Music,No genres found
Orchestrated Chaos,No genres found
Allegra Lusini,No genres found
Marcel Trommler,No genres found
Olympic Ayres,gauze pop
Kinissue,"focus beats, lo-fi study"
AkÄ«n,No genres found
Hennessy,No genres found
Tai Verdes,"modern indie pop, singer-songwriter pop"
Farruko,"reggaeton, trap latino, urbano latino"
1nonly,aesthetic rap
BIA,No genres found
Montana of 300,"chicago drill, chicago rap, drill, trap"
2Time,No genres found
Launder,"chill dream pop, modern dream pop, nu gaze"
Ovlov,"american shoegaze, connecticut indie, countrygaze, dreamo, indie punk, new england shoegaze, nu gaze, shoegaze"
Daphne Loves Derby,"alternative pop rock, neon pop punk, washington indie"
Wallice,indie pop
Fievel Is Glauque,experimental indie
Jadu Heart,"indie soul, vapor soul"
"Dream, Ivory",modern dream pop
Born Without Bones,"alternative emo, new england emo"
Tiny Moving Parts,"alternative emo, anthem emo, emo, midwest emo"
Macabre Plaza,"hypnagogic pop, utopian virtual"
Peach Pit,"pov: indie, vancouver indie"
Modern Baseball,"alternative emo, emo, philly indie, pov: indie"
thanks for coming,"bubblegrunge, small room"
Column,hypnagogic pop
Old Gray,"alternative emo, emo, midwest emo, new england emo"
Hail The Sun,"progressive post-hardcore, swancore"
Corbin,cloud rap
50 Cent,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap"
99 Neighbors,"indie hip hop, vermont indie"
Aaron Smith,No genres found
Stardust,No genres found
WSTR,"anthem emo, easycore, pop punk, uk pop punk"
Yeat,No genres found
Regard,No genres found
Ben Reilly,No genres found
Kyle Exum,"meme, social media pop"
Clinton Kane,"alt z, gen z singer-songwriter"
girli,"alt z, dark pop, escape room, proto-hyperpop"
Quinn XCII,indie pop rap
Wild Party,"hopebeat, indie rockism"
Get Scared,metalcore
William Clark Green,"classic texas country, red dirt, texas country"
Pharmacist,drift phonk
Freddie Dredd,"meme rap, phonk"
Mishashi Sensei,drift phonk
The Score,"modern alternative rock, pov: indie"
WHOKILLEDXIX,"glitchcore, hyperpop"
Moontower,la pop
Yves Tumor,"art pop, escape room, experimental pop, experimental r&b, hypnagogic pop"
The Front Bottoms,"asbury park indie, emo, new jersey indie, pov: indie"
Mastersystem,scottish hush
Animal Flag,"new england emo, stomp and flutter"
Say Anything,"emo, neon pop punk, pop punk, screamo"
Machine Girl,digital hardcore
Sam Fender,"modern rock, north east england indie"
Johnny,"canadian pop, singer-songwriter pop, social media pop"
Endor,"deep groove house, scottish rock"
Ben Prunty,"indie game soundtrack, video game music"
Waveshaper,"spacewave, synthwave"
Nakani,drift phonk
David Kushner,"gen z singer-songwriter, singer-songwriter pop"
HXVRMXN,drift phonk
Jonathan Thulin,"christian dance, christian pop"
Nothing But Thieves,"alternative pop rock, modern alternative rock, modern rock"
Jeremy Zucker,"alt z, electropop, pop"
binki,modern indie pop
Teebs,"abstract beats, instrumental hip hop, wonky"
Southside,"atl hip hop, atl trap"
Roxette,"europop, swedish pop, synthpop"
SPYDASMIX,No genres found
Kapera,uk dance
Fivio Foreign,"brooklyn drill, new york drill, rap, trap"
Nas,No genres found
ZHU,"edm, electro house"
Ghost,drift phonk
Nigo,No genres found
Delphic,"alternative dance, dance-punk, electrofox, new rave"
Paul Simon,"classic rock, folk, folk rock, mellow gold, permanent wave, rock, singer-songwriter, soft rock"
Au/Ra,"alt z, deep pop edm"
Skrillex,"brostep, complextro, edm, electro, pop dance"
Scubadiver,chill abstract hip hop
James Pants,"funktronica, one-person band"
Marlon Craft,nyc rap
A-F-R-O,jazz rap
PlayThatBoiZay,dark trap
Ellzo,future bass
Berner,"cali rap, oakland hip hop"
Madvillain,"abstract hip hop, alternative hip hop, hip hop, psychedelic hip hop"
Knxwledge,"abstract beats, alternative hip hop, indie soul, instrumental hip hop, wonky"
2 Of The Crew,deep g funk
10 Wanted Men,memphis hip hop
Yung Simmie,"cloud rap, miami hip hop, underground hip hop"
Shawty Pimp,"memphis hip hop, phonk"
Nell,"k-rock, korean pop"
Amber London,underground hip hop
Young Ed,deep g funk
kenpachi,No genres found
Mac DeMarco,"edmonton indie, lo-fi indie, pov: indie, slacker rock"
Social House,No genres found
Charlie Puth,"pop, viral pop"
Skizzy Mars,indie pop rap
Dom McLennon,No genres found
Insightful,No genres found
Vinnie Dewayne,portland hip hop
Ombre2Choc Nation,new york drill
Electric Avenue,No genres found
Jex Caprice,No genres found
Gus Dapperton,"bedroom pop, indie poptimism, pov: indie"
Nana Lourdes,No genres found
The Walters,"chicago indie, pov: indie"
Her's,No genres found
Claire Rosinkranz,"alt z, modern indie pop"
Jack Stauber,"hypnagogic pop, pittsburgh indie, pov: indie"
Peach Tree Rascals,pov: indie
SALES,orlando indie
Kapa Boy,ambient lo-fi
Pharrell Williams,"dance pop, pop"
Jason Derulo,"dance pop, pop"
Justin Timberlake,"dance pop, pop"
Shaggy,No genres found
R. Kelly,No genres found
Far East Movement,"asian american hip hop, dance pop, pop rap"
Trevis,No genres found
Tilsen,canadian pop
Julia Wolf,alt z
Lana Del Rey,"art pop, pop"
The Chipmunks & The Chipettes,cartoon
Alvin & The Chipmunks,children's music
Zackery,No genres found
Cecilia Gault,hyperpop
Sinizter,"dark trap, russian trap metal, scream rap"
Fat Nick,"cloud rap, dark trap"
ZillaKami,dark trap
Len Sander,swiss indie
Charli XCX,"art pop, candy pop, metropopolis, pop, uk pop"
Gustav Mahler,"classical, post-romantic era"
Johannes Brahms,"classical, german romanticism, late romantic era"
Robert Schumann,"early romantic era, german romanticism"
LeoÅ¡ JanÃ¡Äek,No genres found
KK,quebec indie
Mikael Karlsson,No genres found
Kaveh Cohen,No genres found
Lance Hayes,No genres found
Misha Mansoor,No genres found
Alex Bhore,No genres found
muqzy,No genres found
Petri Alanko,video game music
Heltah Skeltah,east coast hip hop
Video Age,experimental pop
Amantej Hundal,punjabi pop
Maurice Ravel,"classical, impressionism, neoclassicism, post-romantic era"
Dj Inayat,No genres found
Birdy,"filter house, turntablism"
Dharohar Project,No genres found
Regina Spektor,"indie pop, lilith, piano rock"
Max Drazen,No genres found
Last Heroes,"melodic dubstep, pop edm"
Punctual,"pop dance, uk dance"
Justin Caruso,pop edm
Steve James,pop edm
yetep,"melodic dubstep, pop edm"
Sickboyrari,"cloud rap, glitchcore"
Dayglow,"austindie, indie rock, pov: indie"
Sam Soto,No genres found
James Hype,"deep groove house, house, pop dance, uk dance"
Morris Madrone,No genres found
Marcy Playground,"alternative rock, grunge, pop rock, post-grunge"
Kings of Leon,"modern rock, rock"
Arms and Sleepers,ambient idm
Kindrid,No genres found
Riff Raff,No genres found
Bhonstro,No genres found
Mach-Hommy,"alternative hip hop, boom bap, chill abstract hip hop, drumless hip hop, new jersey rap, psychedelic hip hop"
Faceless 1-7,dark trap
surrenderdorothy,cloud rap
SUMMER ALONE,No genres found
Wifisfuneral,"cloud rap, dark trap, florida rap, miami hip hop, underground hip hop"
See You Next Year,No genres found
SXMPRA,drift phonk
Gxx,dark trap
Boombox Cartel,"brostep, electro house, electronic trap"
HOME,No genres found
Mikey The Magician,dark trap
Voda Fuji,hyperpop
Trapo,"chill abstract hip hop, indie hip hop"
Yerachmiel Begun & The Miami Boys Choir,jewish a capella
Biicla,No genres found
Icarus,"house, melodic house, uk dance"
Grum,"melodic house, progressive house"
ABBA,"europop, swedish pop"
MAGIC!,"pop, reggae fusion"
Cyndi Lauper,"dance pop, new wave pop, permanent wave, soft rock"
Rascal Flatts,"contemporary country, country, country road"
Gloria Gaynor,"disco, soft rock"
Bad Bunny,"reggaeton, trap latino, urbano latino"
Sean Kingston,"dance pop, miami hip hop, pop"
Dexys Midnight Runners,"new romantic, new wave, new wave pop"
Lamont Dozier Jr,No genres found
Zorliks,No genres found
