artist,genres
Senses Fail,"emo, metalcore, neon pop punk, pop punk, post-hardcore, screamo"
Skybombers,No genres found
Soundgarden,"alternative metal, alternative rock, classic rock, grunge, hard rock, nu metal, rock"
Swervedriver,"grungegaze, nu gaze, shoegaze, spacegrunge"
The Photo Atlas,No genres found
Never Heard of It,No genres found
Showing Off To Thieves,No genres found
The Pigeon Detectives,"british indie rock, britpop, english indie rock, leeds indie"
Permanent Me,No genres found
Operator,No genres found
Kerli,"candy pop, dark pop, estonian pop, metropopolis"
Junkie XL,"big beat, soundtrack"
Jimmy Eat World,"alternative metal, alternative rock, emo, modern power pop, modern rock, neon pop punk, pop punk, pop rock, post-grunge, punk, rock"
Brain Failure,"chinese indie rock, chinese punk"
Innerpartysystem,"electronic rock, electropowerpop"
Agent Blue,No genres found
Jane's Addiction,No genres found
Josler Tudisco,No genres found
Thees Handz,No genres found
The Police,"album rock, classic rock, permanent wave, rock"
WILLOW,"afrofuturism, pop, post-teen pop, pov: indie"
Towkio,chicago rap
Ian J,dark clubbing
Pixies,"alternative rock, boston rock, permanent wave, rock"
Car Seat Headrest,"furry, indie rock, pov: indie, slacker rock"
Albert Hammond Jr,garage rock
Built To Spill,"alternative rock, chamber pop, idaho indie, indie rock, lo-fi, noise rock, slacker rock"
Telltale,"pop punk, rva indie"
Mome Boys,No genres found
Feint,"chillstep, dancefloor dnb"
Prismo,bass trap
Marin Hoxha,No genres found
Worst Party Ever,"5th wave emo, diy emo, lo-fi emo, midwest emo, small room"
Viagra Boys,"crank wave, stockholm indie"
Shellac,"chicago indie, chicago punk, experimental rock, math rock, noise rock, post-hardcore"
Fontaines D.C.,"crank wave, irish indie rock, irish post-punk"
As Tall As Lions,"dreamo, progressive post-hardcore"
fanclubwallet,chill dream pop
Jeromes Dream,"emoviolence, screamo, skramz"
Steve Aoki,"edm, electro house, pop dance"
$uicideboy$,"cloud rap, dark trap, new orleans rap, underground hip hop"
Sarcastic Sounds,"lo-fi chill, sad lo-fi"
tender spring,"lo-fi beats, lo-fi study"
Allem Iversom,lo-fi study
Leavv,"chillhop, lo-fi beats"
Slo Loris,lo-fi study
Sitting Duck,"lo-fi beats, lo-fi study"
Caleb Belkin,lo-fi beats
Milkz,lo-fi beats
Hamzah,No genres found
dryhope,"lo-fi beats, lo-fi study"
The Internet,"alternative r&b, lgbtq+ hip hop"
Cash Cash,"dance pop, edm, electro house, electropowerpop, pop dance"
Flume,"australian dance, australian electropop, australian indie, downtempo, edm, indietronica"
Tristam,"brostep, complextro, dancefloor dnb, edm, filthstep, gaming edm"
Cam'ron,No genres found
C-Gak,No genres found
Big K.R.I.T.,"conscious hip hop, mississippi hip hop, southern hip hop, trap"
Ibra,"lo-fi beats, lo-fi rap"
BROCKHAMPTON,"boy band, rap"
Lime Cordiale,australian surf rock
Salomon Faye,No genres found
Ameer Vann,"indie hip hop, underground hip hop"
Marc Rebillet,No genres found
SaddiqyTheNyeGuy,No genres found
CANCEL CULTURE,lo-fi rap
Mike Irish,No genres found
Isaiah Rashad,"hip hop, rap, tennessee hip hop, underground hip hop"
JPEGMAFIA,"alternative hip hop, experimental hip hop, industrial hip hop"
Girl Talk,"mashup, pittsburgh indie"
Choo Jackson,pittsburgh rap
Wilkinson,"dancefloor dnb, drum and bass, uk dance"
Friction,"dancefloor dnb, drum and bass, uk dnb"
Hybrid Minds,"drum and bass, liquid funk"
Vicetone,"edm, electro house, pop dance, progressive electro house"
Aventura,"bachata, bachata dominicana, latin hip hop, latin pop, tropical, urbano latino"
Cella,swiss pop
OTR,stutter house
WHIPPED CREAM,"canadian electronic, electra"
JIL,No genres found
Pusha T,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap, virginia hip hop"
Cherub,No genres found
Paris Texas,"chill abstract hip hop, indie hip hop"
Roy Woods,"canadian contemporary r&b, canadian hip hop"
Bishu,bass trap
Never Broke Again,"baton rouge rap, rap"
David Wolves,indie hip hop
Twista,"chicago rap, dirty south rap, gangster rap, trap"
David Guetta,"big room, dance pop, edm, pop, pop dance"
Key Glock,"memphis hip hop, rap, southern hip hop, tennessee hip hop, trap"
Clams Casino,"cloud rap, experimental hip hop, instrumental hip hop, psychedelic hip hop"
Moore Kismet,"dubstep, gaming dubstep"
Holy Mob,phonk
Swedish House Mafia,"edm, pop dance, progressive electro house"
OneRepublic,"piano rock, pop"
LVTHER,gaming edm
Remble,"meme, viral rap"
Hotel Ugly,modern indie pop
Local Natives,"chamber pop, indie rock, la indie, modern rock, shimmer pop, stomp and holler"
Qari,indie hip hop
Asoh Black!,"indie hip hop, nyc rap"
K.A.A.N.,"australian psych, double drumming, microtonal, neo-psychedelic"
Point Point,vapor twitch
Juicy J,"crunk, memphis hip hop, pop rap, rap, southern hip hop, trap"
The Underachievers,"psychedelic hip hop, underground hip hop"
Killer Bee,No genres found
Jon Bellion,indie pop rap
Prince Eazy,"chicago drill, drill"
King Von,"chicago rap, rap"
Chief Keef,"chicago bop, chicago drill, chicago rap, drill, hip hop, rap, trap"
Only The Family,chicago rap
Maxo Kream,"houston rap, melodic rap, trap, underground hip hop"
No Jumper,No genres found
Torre Lott,No genres found
BROODS,"auckland indie, etherpop, indietronica, metropopolis, nz pop"
YBN Nahmir,"alabama rap, rap, trap"
Ben Beal,lo-fi rap
PEEKABOO,"brostep, dubstep"
Lord Bones,No genres found
Bad Suns,"la indie, modern alternative rock, modern rock, pov: indie"
Fetty Wap,"new jersey rap, pop rap, rap, southern hip hop, trap"
The Game,"detroit hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Will Smith,"afrofuturism, pop, post-teen pop, pov: indie"
Naughty Boy,uk contemporary r&b
India Shawn,alternative r&b
Michael Jackson,"r&b, soul"
Cosmo Pyke,uk contemporary r&b
Busta Rhymes,"east coast hip hop, hardcore hip hop, hip hop, pop rap, rap"
Miguel,scenecore
Common,anthem emo
Astronaut,"complextro, filthstep, gaming edm"
barnacle boi,wave
Cheap Emotion,No genres found
Ganja White Night,brostep
JAHKOY,"canadian contemporary r&b, trap soul"
Brent Faiyaz,"r&b, rap"
Maxd,No genres found
Inteus,phonk
Russ,"hawaiian hip hop, pop rap"
Faze Wave,jacksonville indie
Bryce Vine,indie pop rap
Grayscale,"anthem emo, pop punk"
Reptilian God Mana,cloud rap
347aidan,sad rap
Tommy Newport,kansas indie
Peachy!,lo-fi beats
Tee Grizzley,"detroit hip hop, detroit trap, rap, southern hip hop, trap"
SpotemGottem,"florida drill, florida rap"
Nick Leng,No genres found
Eryn Martin,No genres found
Metric,"canadian indie, canadian rock, indie rock, indietronica, metropopolis, neo-synthpop"
070 Shake,new jersey rap
Systema Solar,"colombian hip hop, colombian rock, latin alternative, nu-cumbia"
Prison Mike,No genres found
Giraffage,"chillwave, future bass, vapor twitch"
LeRoyce,"dfw rap, jazz rap"
Kembe X,"indie hip hop, underground hip hop"
Thutmose,indie pop rap
Tru,No genres found
Sir Michael Rocks,"soul flow, underground hip hop"
Lido,"norwegian pop, vapor twitch"
Bobby Raps,"cloud rap, emo rap, minnesota hip hop"
Hiboky,anime phonk
RÅ®DE,"dream pop, lund indie, metropopolis, modern dream pop, nordic shoegaze, nu gaze, shoegaze, swedish indie pop"
LUCKI,pluggnb
Ramirez,"cloud rap, dark trap, phonk"
James Blake,"art pop, indie soul, indietronica, uk alternative pop"
Jon Waltz,memphis hip hop
Peter $un,"indie hip hop, rva indie"
sober rob,"future bass, vapor twitch"
Ivy Lab,"glitch hop, halftime dnb, liquid funk"
LordSakima,No genres found
Autograf,"deep tropical house, pop edm, vapor soul, vapor twitch"
LORD$OFDOGTOWN,indie hip hop
WELL$,"indietronica, metropopolis, nu disco, shimmer pop"
Italian Leather,No genres found
Rocci,No genres found
Antwon,No genres found
Frank Sinatra,"adult standards, easy listening, lounge"
Michael BublÃ©,No genres found
Tech N9ne,"detroit hip hop, kansas city hip hop, pop rap"
Benny Benassi,"dutch house, edm, electro house, pop dance"
Rich Edwards,gaming edm
Hellberg,"complextro, gaming edm"
Stephen Walking,"complextro, filthstep, gaming edm"
Pegboard Nerds,"brostep, complextro, danish electronic, edm, electro house, glitch, speedrun"
Two Friends,No genres found
Sultan,"canadian electronic, melodic house, progressive house"
KEY!,No genres found
KingJet,No genres found
King Green,No genres found
TOBi,"chicago rap, indie hip hop, indie r&b"
Dirty Sanchez 47,underground boom bap
Sekai,gaming edm
IDK,No genres found
JJ DOOM,alternative hip hop
Jakey,No genres found
PLURBS,No genres found
Ghost-Note,instrumental funk
